--- Starting Multi-Seed Training for Seeds: [9006] ---

=======================================================
  Training Seed 9006 on Device: cuda
=======================================================
Seed 9006 | Epoch 05/1220 | Avg R: 0.0067 | Val Loss: 0.0015 | KL: 0.0061 | LinErr: 0.907 | YawErr: 0.692 | |A|: 0.115 | R>0: 74.03% | Done: 0.35% | Sigma: 0.373 | Steps: 819200 | Time: 65.3s
Seed 9006 | Epoch 10/1220 | Avg R: 0.0101 | Val Loss: 0.0011 | KL: 0.0077 | LinErr: 0.871 | YawErr: 0.627 | |A|: 0.117 | R>0: 92.76% | Done: 0.07% | Sigma: 0.370 | Steps: 1638400 | Time: 120.7s
Seed 9006 | Epoch 15/1220 | Avg R: 0.0133 | Val Loss: 0.0008 | KL: 0.0076 | LinErr: 0.847 | YawErr: 0.561 | |A|: 0.119 | R>0: 98.95% | Done: 0.01% | Sigma: 0.362 | Steps: 2457600 | Time: 176.4s
Seed 9006 | Epoch 20/1220 | Avg R: 0.0148 | Val Loss: 0.0008 | KL: 0.0088 | LinErr: 0.823 | YawErr: 0.521 | |A|: 0.123 | R>0: 99.55% | Done: 0.00% | Sigma: 0.353 | Steps: 3276800 | Time: 231.9s
Seed 9006 | Epoch 25/1220 | Avg R: 0.0158 | Val Loss: 0.0007 | KL: 0.0091 | LinErr: 0.806 | YawErr: 0.502 | |A|: 0.125 | R>0: 99.75% | Done: 0.00% | Sigma: 0.344 | Steps: 4096000 | Time: 287.8s
Seed 9006 | Epoch 30/1220 | Avg R: 0.0165 | Val Loss: 0.0006 | KL: 0.0095 | LinErr: 0.794 | YawErr: 0.480 | |A|: 0.126 | R>0: 99.79% | Done: 0.00% | Sigma: 0.337 | Steps: 4915200 | Time: 343.8s
Seed 9006 | Epoch 35/1220 | Avg R: 0.0171 | Val Loss: 0.0006 | KL: 0.0102 | LinErr: 0.786 | YawErr: 0.464 | |A|: 0.127 | R>0: 99.82% | Done: 0.00% | Sigma: 0.331 | Steps: 5734400 | Time: 399.7s
Seed 9006 | Epoch 40/1220 | Avg R: 0.0176 | Val Loss: 0.0007 | KL: 0.0107 | LinErr: 0.772 | YawErr: 0.455 | |A|: 0.128 | R>0: 99.85% | Done: 0.00% | Sigma: 0.325 | Steps: 6553600 | Time: 455.6s
Seed 9006 | Epoch 45/1220 | Avg R: 0.0180 | Val Loss: 0.0006 | KL: 0.0119 | LinErr: 0.765 | YawErr: 0.441 | |A|: 0.134 | R>0: 99.84% | Done: 0.00% | Sigma: 0.321 | Steps: 7372800 | Time: 511.3s
Seed 9006 | Epoch 50/1220 | Avg R: 0.0183 | Val Loss: 0.0006 | KL: 0.0122 | LinErr: 0.759 | YawErr: 0.430 | |A|: 0.142 | R>0: 99.85% | Done: 0.00% | Sigma: 0.317 | Steps: 8192000 | Time: 567.8s
Seed 9006 | Epoch 55/1220 | Avg R: 0.0154 | Val Loss: 0.0005 | KL: 0.0137 | LinErr: 0.860 | YawErr: 0.571 | |A|: 0.150 | R>0: 99.54% | Done: 0.01% | Sigma: 0.314 | Steps: 9011200 | Time: 624.8s
Seed 9006 | Epoch 60/1220 | Avg R: 0.0157 | Val Loss: 0.0005 | KL: 0.0148 | LinErr: 0.859 | YawErr: 0.557 | |A|: 0.159 | R>0: 99.62% | Done: 0.00% | Sigma: 0.311 | Steps: 9830400 | Time: 681.3s
Seed 9006 | Epoch 65/1220 | Avg R: 0.0164 | Val Loss: 0.0005 | KL: 0.0151 | LinErr: 0.840 | YawErr: 0.530 | |A|: 0.165 | R>0: 99.61% | Done: 0.01% | Sigma: 0.308 | Steps: 10649600 | Time: 738.1s
Seed 9006 | Epoch 70/1220 | Avg R: 0.0171 | Val Loss: 0.0006 | KL: 0.0152 | LinErr: 0.819 | YawErr: 0.501 | |A|: 0.171 | R>0: 99.68% | Done: 0.00% | Sigma: 0.306 | Steps: 11468800 | Time: 794.3s
Seed 9006 | Epoch 75/1220 | Avg R: 0.0176 | Val Loss: 0.0005 | KL: 0.0148 | LinErr: 0.804 | YawErr: 0.477 | |A|: 0.178 | R>0: 99.71% | Done: 0.00% | Sigma: 0.303 | Steps: 12288000 | Time: 851.7s
Seed 9006 | Epoch 80/1220 | Avg R: 0.0179 | Val Loss: 0.0005 | KL: 0.0153 | LinErr: 0.791 | YawErr: 0.472 | |A|: 0.182 | R>0: 99.77% | Done: 0.00% | Sigma: 0.302 | Steps: 13107200 | Time: 908.5s
